contaminant,authorization,limit,amount_released,source,event_id,region
"1,3-BUTADIENE",No specific authorization,0.0,14000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10
Benzene,No specific authorization,0.0,6500.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10
Butanes,No specific authorization,0.0,15000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10
"Butenes, All Isomers",No specific authorization,0.0,10000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10
Carbon Monoxide,No specific authorization,0.0,150000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10
Ethylbenzene,No specific authorization,0.0,1500.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10
Ethylene (gaseous),No specific authorization,0.0,150000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10
Isobutylene,No specific authorization,0.0,3000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10
Nitrogen dioxide,No specific authorization,0.0,4000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10
Nitrogen oxide,No specific authorization,0.0,25000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10
Pentanes,No specific authorization,0.0,10500.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10
Propane,No specific authorization,0.0,21000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10
Propylene,No specific authorization,0.0,50000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10
Toluene,No specific authorization,0.0,2000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10
Xylene (mixed isomers),No specific authorization,0.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10
Carbon Monoxide,NSR Permit 20485 and Title V Permit O1327,84.05 LBS/HR,1000.0 lbs (est.),"Source 1: North/South Flare , EPN number UWN6R1 & UWS6R1",266761,region 10
NOX,NSR Permit 20485 and Title V Permit O1327,16.32 LBS/HR,1000.0 lbs (est.),"Source 1: North/South Flare , EPN number UWN6R1 & UWS6R1",266761,region 10
Opacity,NSR Permit 20485 and Title V Permit O1327,0.0,75.0 % op (est.),"Source 1: North/South Flare , EPN number UWN6R1 & UWS6R1",266761,region 10
Carbon Monoxide,Permit 19394,184.7 LBS/HR,1474.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 10
Ethylene (gaseous),Permit 19394,149.91 LBS/HR,246.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 10
Hexene,Permit 19394,149.91 LBS/HR,11.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 10
Isobutane,Permit 19394,149.91 LBS/HR,1280.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 10
Isopentane,Permit 19394,149.91 LBS/HR,449.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 10
Nitrous Oxides,Permit 19394,46.38 LBS/HR,435.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 10
Sulfur dioxide,Permit 19394,0.48 LBS/HR,0.0267 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 10
Benzene,Permit 21101 (as VOC),476.58 LBS/HR,0.16 lbs (est.),"Source 3: Unit Process Flare , EPN number F-40-FLARE",264804,region 10
"Butadiene, 1-3",Permit 21101 (as VOC),476.58 LBS/HR,12.86 lbs (est.),"Source 3: Unit Process Flare , EPN number F-40-FLARE",264804,region 10
Carbon Monoxide,Permit 21101,364.28 LBS/HR,31.61 lbs (est.),"Source 3: Unit Process Flare , EPN number F-40-FLARE",264804,region 10
NOX,Permit 21101,71.49 LBS/HR,5.48 lbs (est.),"Source 3: Unit Process Flare , EPN number F-40-FLARE",264804,region 10
Other VOCs,Permit 21101,476.58 LBS/HR,30.54 lbs (est.),"Source 3: Unit Process Flare , EPN number F-40-FLARE",264804,region 10
Butanes,Permit 49138,5156.31 LBS/HR,6554.82 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 10
Carbon Monoxide,Permit 49138,3919.77 LBS/HR,4981.12 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 10
Hydrogen Sulfide,Permit 49138,157.03 LBS/HR,17.52 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 10
Nitrogen Oxides (NOx),Permit 49138,1028.46 LBS/HR,697.36 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 10
Pentanes,Permit 49138,5156.31 LBS/HR,3229.04 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 10
Propane,Permit 49138,5156.31 LBS/HR,1384.81 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 10
Sulfur dioxide,Permit 49138,15649.92 LBS/HR,1613.41 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 10
Carbon Monoxide,Permit 49138,3919.77 LBS/HR,76.41 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 10
Hydrogen Sulfide,Permit 49138,157.03 LBS/HR,0.79 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 10
Nitrogen Oxides (NOx),Permit 49138,1028.46 LBS/HR,45.92 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 10
PM10,Permit 49138,1020.67 LBS/HR,1.97 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 10
Sulfur dioxide,Permit 49138,15649.92 LBS/HR,19165.7 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 10
VOC (unspeciated),Permit 49138,5156.31 LBS/HR,0.04 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 10
Carbon Monoxide,NSR Permit 46396,226.9 LBS/HR,36.14 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",264749,region 10
Hydrogen Sulfide,NSR Permit 46396,0.13 LBS/HR,0.08 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",264749,region 10
NOX,NSR Permit 46396,33.0 LBS/HR,7.11 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",264749,region 10
Sulfur dioxide,NSR Permit 46396,10.67 LBS/HR,1699.69 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",264749,region 10
VOC,NSR Permit 46396,529.58 LBS/HR,26.23 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",264749,region 10
Carbon Monoxide,NSR Permit 46396,226.9 LBS/HR,94.39 lbs (est.),"Source 4: South Flare , EPN number FLARECAP",264749,region 10
Hydrogen Sulfide,NSR Permit 46396,0.13 LBS/HR,0.03 lbs (est.),"Source 4: South Flare , EPN number FLARECAP",264749,region 10
NOX,NSR Permit 46396,33.0 LBS/HR,17.79 lbs (est.),"Source 4: South Flare , EPN number FLARECAP",264749,region 10
Sulfur dioxide,NSR Permit 46396,10.67 LBS/HR,6213.69 lbs (est.),"Source 4: South Flare , EPN number FLARECAP",264749,region 10
VOC,NSR Permit 46396,529.58 LBS/HR,134.09 lbs (est.),"Source 4: South Flare , EPN number FLARECAP",264749,region 10
Crude Oil,101.1/ Stand. Permit No.13493,1.0 bbls,5400.0 lbs (est.),"Source 3: Tank 217/IFR , EPN number Tank 217/IFR",267063,region 10
Opacity,Permit O982,10.0 % op,100.0 % op (est.),"Source 2: Continuous Kiln No. 3 , EPN number K-03",266258,region 10
Opacity,Permit O982,10.0 % op,100.0 % op (est.),"Source 4: Kiln No. 3 Burner Abort Stack , EPN number ABRSTK",266258,region 10
Opacity,'No specific emissions authorizations for this facility',10.0 % op,72.33 % op (est.),"Source 1: Boiler , EPN number 22",266504,region 10
Opacity,'No specific emissions authorizations for this facility',10.0 % op,27.78 % op (est.),"Source 1: Boiler , EPN number 22",266580,region 10
Sulfur dioxide,NSR Permit 80812 Site Wide CAP,641.19 LBS/HR,6116.12 lbs (est.),"Source 3: Flare 23 , EPN number E-23-FLARE",266817,region 10
Carbon Monoxide,Permit 8404,0.0,5001.0 lbs (est.),"Source 1: Alkyation Unit Flare , EPN number EFCCU 1&2",266550,region 10
Hydrogen Sulfide,Permit 8404,0.0,101.0 lbs (est.),"Source 1: Alkyation Unit Flare , EPN number EFCCU 1&2",266550,region 10
Nitrogen Oxides (NOx),Permit 8404,0.0,1001.0 lbs (est.),"Source 1: Alkyation Unit Flare , EPN number EFCCU 1&2",266550,region 10
Sulfur dioxide,Permit 8404,0.0,501.0 lbs (est.),"Source 1: Alkyation Unit Flare , EPN number EFCCU 1&2",266550,region 10
VOCs,Permit 8404,0.0,101.0 lbs (est.),"Source 1: Alkyation Unit Flare , EPN number EFCCU 1&2",266550,region 10
Carbon Monoxide,Permit 8404,0.0,5001.0 lbs (est.),"Source 3: CRU4 Flare , EPN number ECRU4",266550,region 10
